Symbol,Company Name,Industry,Prior Close,5 Day Chg,4 Week Chg,52 Week Chg,Mkt Cap
SVNA,7 Acquisition Corp,Holding Companies,10.02,0.20%,0.00%,0.00%,$230.460M
VII,7GC & Holdings Co Inc,Holding Companies,9.89,0.41%,1.00%,2.00%,$227.470M
,808 Renewable Energy Corp,Aerospace & Defense,0.07,9.38%,-11.00%,-64.00%,$97.665M
ETNB,89bio Inc,Biotechnology & Medical Research,4.08,19.32%,22.00%,-77.00%,$83.032M
LAX,8i Acquisition 2 Corp,Holding Companies,9.94,0.00%,1.00%,0.00%,$110.076M
EGHT,"8x8, Inc.",Communications & Networking,5.09,-6.77%,15.00%,-79.00%,$610.622M
NMTR,9 Meters Biopharma Inc,Biotechnology & Medical Research,0.26,9.44%,11.00%,-75.00%,$68.404M
MASS,908 Devices Inc.,Healthcare Equipment & Supplies,19.70,-18.82%,8.00%,-39.00%,$622.323M
JFU,9F Inc - ADR,Investment Banking & Investment Services,0.74,-7.43%,-19.00%,-58.00%,$6.550M
AOS,A O Smith Corp,"Machinery, Equipment & Components",62.42,0.36%,9.00%,-14.00%,$8.020B
,A P MOELLER MAERSK A S SHS B,Freight & Logistics Services,"2,929.00",-0.89%,26.00%,-2.00%,$24.522B
ASCA,A SPAC I Acquisition Corp,Holding Companies,9.94,0.00%,0.00%,0.00%,$86.418M
ASCB,A SPAC II Acquisition Corp,Holding Companies,9.92,0.30%,0.00%,0.00%,$250.976M
,A-Mark Precious Metals Inc,Metals & Mining,35.50,8.49%,26.00%,40.00%,$817.494M
ATEN,A10 Networks Inc,Software & IT Services,15.43,-1.79%,10.00%,14.00%,$1.175B
AADI,Aadi Bioscience Inc,Pharmaceuticals,13.22,2.66%,9.00%,-56.00%,$277.845M
AAON,"AAON, Inc.","Machinery, Equipment & Components",61.05,0.00%,16.00%,-11.00%,$3.245B
AAPJ,Aap 101 Inc,"Computers, Phones & Household Electronics",0.01,-7.57%,1.00%,-82.00%,$2.463M
AIR,AAR Corp.,Aerospace & Defense,46.32,4.20%,12.00%,37.00%,$1.641B
AAN,Aaron's Company Inc,Banking Services,14.55,8.74%,-2.00%,-51.00%,$447.805M
ABQQ,Ab International Group Corp,Media & Publishing,0.00,-17.86%,-28.00%,-91.00%,$1.774M
ABTO,AB&T Financial Corporation,Banking Services,0.65,-6.95%,-30.00%,-31.00%,$1.731M
ABB,ABB Ltd (ADR),"Machinery, Equipment & Components",30.51,2.49%,13.00%,-19.00%,$59.944B
ABT,Abbott Laboratories,Healthcare Equipment & Supplies,110.49,0.60%,1.00%,-10.00%,$193.492B
ABBV,AbbVie Inc,Pharmaceuticals,142.08,-0.18%,-8.00%,21.00%,$251.211B
ABCM,Abcam PLC (ADR),Pharmaceuticals,15.33,-1.29%,11.00%,-25.00%,$3.510B
ABCL,AbCellera Biologics Inc,Biotechnology & Medical Research,13.36,21.49%,20.00%,-12.00%,$3.809B
ABCE,ABCO Energy Inc,Renewable Energy,0.01,28.44%,32.00%,-69.00%,$1.876M
ABEO,Abeona Therapeutics Inc,Biotechnology & Medical Research,4.66,3.74%,-13.00%,-87.00%,$27.391M
ANF,Abercrombie & Fitch Co.,Other Specialty Retailers,19.32,4.44%,13.00%,-50.00%,$974.636M
ABGI,ABG Acquisition I Corp,Holding Companies,9.85,0.10%,1.00%,1.00%,$153.325M
ABMD,"ABIOMED, Inc.",Healthcare Equipment & Supplies,290.93,-2.69%,13.00%,-9.00%,$13.226B
ABM,"ABM Industries, Inc.",Professional & Commercial Services  ,45.79,1.18%,7.00%,-4.00%,$3.058B
AXAS,Abraxas Petroleum Corp.,Oil & Gas,1.60,-1.23%,-3.00%,-24.00%,$13.475M
FAX,abrdn Asia Pacific Income Fund,Collective Investments ,2.94,1.75%,6.00%,-34.00%,$728.223M
IAF,abrdn Australia Equity Fund,Collective Investments ,5.21,3.06%,14.00%,-20.00%,$121.414M
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,Collective Investments ,5.54,2.21%,4.00%,-37.00%,$56.176M
AGD,Abrdn Global Dynamic Dividend Fund,Collective Investments ,10.19,1.81%,8.00%,-18.00%,$105.467M
FCO,abrdn Global Income Fund,Collective Investments ,5.26,1.55%,-1.00%,-46.00%,$48.497M
AWP,Abrdn Global Premier Properties Fund,Collective Investments ,5.35,1.34%,7.00%,-21.00%,$535.000M
ACP,abrdn Income Credit Strategies Fund,Collective Investments ,8.72,3.22%,12.00%,-25.00%,$203.629M
JEQ,abrdn Japan Equity Fund,Collective Investments ,6.05,1.51%,7.00%,-34.00%,$81.118M
ASGI,abrdn Standard Globl Infrstrctr Incm Fnd,Collective Investments ,19.29,0.84%,9.00%,-11.00%,$170.813M
AOD,Abrdn Total Dynamic Dividend Fund,Collective Investments ,8.57,1.78%,6.00%,-18.00%,$885.478M
ASPA,Abri SPAC I Inc,Holding Companies,10.00,0.10%,0.00%,0.00%,$74.620M
AGRPY,Absa Group Ltd (ADR),Banking Services,20.53,0.00%,12.00%,2.00%,$8.702B
ABSI,Absci Corp,Biotechnology & Medical Research,4.79,17.65%,29.00%,-82.00%,$444.383M
ABVC,ABVC Biopharma Inc,Biotechnology & Medical Research,0.57,-22.34%,-39.00%,-81.00%,$18.415M
ACIU,AC Immune SA,Biotechnology & Medical Research,3.25,0.73%,2.00%,-50.00%,$233.795M
ACTG,Acacia Research Corp,Professional & Commercial Services  ,4.83,0.20%,0.00%,-14.00%,$221.262M
ASO,Academy Sports and Outdoors Inc,Other Specialty Retailers,46.50,2.23%,17.00%,19.00%,$3.957B
,Acadia Healthcare Company Inc,Healthcare Providers & Services,81.41,-0.96%,10.00%,28.00%,$7.395B
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology & Medical Research,15.74,7.88%,3.00%,-10.00%,$2.547B
AKR,Acadia Realty Trust,Residential & Commercial REITs,17.32,4.60%,7.00%,-20.00%,$1.644B
CAVG,ACC Aviation Holdings Ltd,Holding Companies,0.94,0.00%,0.00%,319.00%,$12.069M
ACEL,Accel Entertainment Inc,Hotels & Entertainment Services,9.92,-21.27%,-15.00%,-14.00%,$894.060M
AAQC,Accelerate Acquisition Corp,Holding Companies,9.82,0.10%,0.00%,2.00%,$392.800M
AXDX,Accelerate Diagnostics Inc,Healthcare Equipment & Supplies,2.15,14.44%,49.00%,-68.00%,$170.787M
ACN,Accenture Plc,Software & IT Services,314.42,2.70%,17.00%,-2.00%,$208.834B
ACCO,ACCO Brands Corporation,Professional & Commercial Services  ,6.83,-5.87%,2.00%,-29.00%,$662.414M
ACCD,Accolade Inc,Healthcare Providers & Services,11.73,9.21%,27.00%,-74.00%,$835.282M
ENER,Accretion Acquisition Corp,Holding Companies,9.89,-0.20%,1.00%,0.00%,$257.091M
ARAY,Accuray Incorporated,Healthcare Equipment & Supplies,2.64,3.81%,5.00%,-44.00%,$244.997M
ACEV,ACE Convergence Acquisition Corp,Holding Companies,10.23,0.00%,0.00%,4.00%,$83.906M
ACBA,Ace Global Business Acquisition Ltd,Holding Companies,10.35,0.10%,0.00%,4.00%,$62.659M
ACRX,AcelRx Pharmaceuticals Inc,Biotechnology & Medical Research,0.31,5.76%,-3.00%,-80.00%,$45.988M
ACER,Acer Therapeutics Inc,Biotechnology & Medical Research,1.48,13.43%,6.00%,-39.00%,$22.657M
AVHI,Achari Ventures Holdings Corp I,Holding Companies,10.02,0.00%,0.00%,0.00%,$125.250M
ACHV,Achieve Life Sciences Inc,Biotechnology & Medical Research,5.20,8.05%,2.00%,-29.00%,$50.346M
ACHL,Achilles Therapeutics PLC (ADR),Biotechnology & Medical Research,3.06,9.64%,16.00%,-52.00%,$124.245M
ACIW,ACI Worldwide Inc,Financial Technology (Fintech) & Infrastructure,26.13,-7.26%,2.00%,-18.00%,$2.980B
ACKIU,Ackrell SPAC Partners I Co,Holding Companies,10.44,-0.61%,1.00%,2.00%,$149.698M
ACON,Aclarion Inc,Biotechnology & Medical Research,0.91,-10.72%,12.00%,0.00%,$7.127M
ACRS,Aclaris Therapeutics Inc,Biotechnology & Medical Research,16.80,17.36%,11.00%,12.00%,$1.120B
ACMR,ACM Research Inc,Semiconductors & Semiconductor Equipment ,19.16,13.41%,29.00%,-31.00%,$1.038B
ACU,Acme United Corporation,Professional & Commercial Services  ,28.56,-2.62%,-2.00%,-26.00%,$100.676M
ACNB,ACNB Corporation,Banking Services,35.25,1.80%,17.00%,22.00%,$300.577M
ACOR,Acorda Therapeutics Inc,Biotechnology & Medical Research,0.46,-5.56%,-1.00%,-88.00%,$11.192M
ACFN,Acorn Energy Inc,Software & IT Services,0.54,4.90%,11.00%,-8.00%,$21.233M
ACR,Acres Commercial Realty Corp,Residential & Commercial REITs,9.43,13.53%,20.00%,-44.00%,$84.257M
ACAC,ACRI Capital Acquisition Corp,Holding Companies,10.00,0.00%,0.00%,0.00%,$86.250M
ACBM,ACRO Biomedical Co Ltd,Food & Tobacco,4.48,12.78%,0.00%,6.00%,$268.988M
ACRO,Acropolis Infrastructure Acquisitin Corp,Holding Companies,9.80,0.77%,1.00%,0.00%,$338.100M
ASNS,Actelis Networks Inc,Construction & Engineering,1.44,-5.16%,8.00%,0.00%,$24.977M
ATNM,Actinium Pharmaceuticals Inc,Biotechnology & Medical Research,5.70,10.78%,12.00%,-11.00%,$135.575M
ATVI,"Activision Blizzard, Inc.",Software & IT Services,80.51,0.40%,6.00%,-5.00%,$62.949B
AYI,"Acuity Brands, Inc.",Homebuilding & Construction Supplies,181.55,1.86%,9.00%,-1.00%,$5.939B
ABOS,Acumen Pharmaceuticals Inc,Biotechnology & Medical Research,5.29,6.63%,-15.00%,-64.00%,$214.250M
ACUR,"Acura Pharmaceuticals, Inc.",Biotechnology & Medical Research,0.10,0.00%,-80.00%,-83.00%,$6.509M
ACXP,Acurx Pharmaceuticals Inc,Biotechnology & Medical Research,4.54,25.46%,35.00%,0.00%,$46.553M
GOLF,Acushnet Holdings Corp,Leisure Products,51.35,3.04%,7.00%,-6.00%,$3.654B
AFIB,Acutus Medical Inc,Healthcare Equipment & Supplies,1.66,11.81%,52.00%,-88.00%,$47.038M
ACVA,ACV Auctions Inc,Software & IT Services,8.63,1.34%,20.00%,-65.00%,$994.159M
ADAG,Adagene Inc,Biotechnology & Medical Research,1.46,-2.00%,-24.00%,-92.00%,$79.923M
ADGI,Adagio Therapeutics Inc,Biotechnology & Medical Research,3.75,11.48%,4.00%,-86.00%,$411.431M
ADMG,Adamant DRI Processing&Minerals Group,Holding Companies,0.10,-0.78%,0.00%,110.00%,$1.611M
ADMP,Adamis Pharmaceuticals Corp,Pharmaceuticals,0.35,-2.39%,-28.00%,-63.00%,$52.179M
ADX,Adams Diversified Equity Fund Inc,Collective Investments ,16.97,0.77%,9.00%,-18.00%,$2.000B
PEO,Adams Natural Resources Fund Inc,Collective Investments ,21.28,1.32%,10.00%,36.00%,$521.020M
AE,Adams Resources & Energy Inc,Oil & Gas,35.10,5.20%,13.00%,24.00%,$153.317M
AHCO,Adapthealth Corp,Healthcare Equipment & Supplies,23.19,-5.75%,19.00%,-8.00%,$3.119B
ADAP,Adaptimmune Therapeutics PLC - ADR,Biotechnology & Medical Research,2.25,18.56%,34.00%,-40.00%,$210.803M
ADPT,Adaptive Biotechnologies Corp,Biotechnology & Medical Research,12.12,27.60%,32.00%,-61.00%,$1.732B
ADRA,Adara Acquisition Corp,Holding Companies,9.95,0.00%,0.00%,2.00%,$114.425M
ADCT,ADC Therapeutics SA,Biotechnology & Medical Research,8.12,10.10%,0.00%,-70.00%,$622.983M
ADUS,Addus Homecare Corporation,Healthcare Providers & Services,93.19,-1.33%,6.00%,3.00%,$1.498B
AEY,"ADDvantage Technologies Group, Inc.",Communications & Networking,1.41,6.72%,11.00%,-44.00%,$18.640M
,Adecoagro SA,Food & Tobacco,8.90,7.08%,21.00%,-3.00%,$1.044B
ADIL,Adial Pharmaceuticals Inc,Biotechnology & Medical Research,0.57,-2.02%,-66.00%,-81.00%,$13.622M
ACET,Adicet Bio Inc,Biotechnology & Medical Research,15.67,-5.26%,-4.00%,133.00%,$627.286M
ADDYY,Adidas AG - ADR,Textiles & Apparel,88.63,0.00%,14.00%,-52.00%,$34.052B
ADNT,Adient PLC,Automobiles & Auto Parts,37.21,1.59%,25.00%,-14.00%,$3.528B
ADEX,Adit EdTech Acquisition Cor,Holding Companies,9.88,0.10%,0.00%,2.00%,$340.860M
ADTX,Aditxt Inc,Biotechnology & Medical Research,0.17,-2.36%,-5.00%,-93.00%,$7.621M
ADMQ,Adm Endeavors Inc,Professional & Commercial Services  ,0.04,-8.78%,28.00%,-45.00%,$6.300M
ADMT,"ADM Tronics Unlimited, Inc.",Healthcare Equipment & Supplies,0.05,0.00%,-25.00%,-52.00%,$3.447M
ADMA,ADMA Biologics Inc,Pharmaceuticals,2.23,0.95%,-5.00%,40.00%,$437.876M
ADBE,Adobe Inc,Software & IT Services,434.89,3.26%,18.00%,-31.00%,$203.529B
ADSE,Ads-Tec Energy PLC,Software & IT Services,8.00,3.64%,12.00%,0.00%,$389.904M
ADT^E16,ADT Inc,Communications & Networking,8.03,8.62%,17.00%,-10.00%,$6.880B
ATGE,Adtalem Global Education Inc,Miscellaneous Educational Service Providers,37.74,-2.88%,0.00%,3.00%,$1.704B
,AdTheorent Holding Company Inc,Software & IT Services,2.74,-10.22%,6.00%,-71.00%,$236.947M
ADTN,Adtran Holdings Inc,Professional & Commercial Services  ,24.18,-1.82%,26.00%,3.00%,$1.188B
AAP,"Advance Auto Parts, Inc.",Other Specialty Retailers,197.42,-0.30%,3.00%,-6.00%,$11.972B
ABMT,Advanced Biomedical Technologies Inc,Healthcare Equipment & Supplies,0.06,0.00%,-2.00%,-25.00%,$3.922M
ACTX,Advanced Container Technologies Inc,Chemicals,0.55,0.00%,-14.00%,-60.00%,$28.546M
WMS^J13,Advanced Drainage Systems Inc,Homebuilding & Construction Supplies,144.35,18.78%,52.00%,23.00%,$12.063B
ADES,Advanced Emissions Solutions Inc,Professional & Commercial Services  ,4.80,-0.21%,6.00%,-29.00%,$91.661M
AEIS,"Advanced Energy Industries, Inc.","Machinery, Equipment & Components",93.69,1.31%,25.00%,8.00%,$3.519B
AHI,Advanced Human Imaging Ltd - ADR,Software & IT Services,0.61,4.11%,-5.00%,0.00%,$103.372M
AVIFY,Advanced Info Service PCL (ADR),Telecommunications Services,5.72,7.82%,5.00%,8.00%,$17.012B
AMPI,Advanced Merger Partners Inc,Holding Companies,9.83,0.00%,1.00%,1.00%,$282.613M
AMD,"Advanced Micro Devices, Inc.",Semiconductors & Semiconductor Equipment ,98.12,0.98%,26.00%,-7.00%,$158.397B
AVOI,Advanced Voice Recognition Systems Inc,Software & IT Services,0.01,-19.08%,35.00%,-42.00%,$1.994M
ASIX,AdvanSix Inc,Chemicals,39.28,1.38%,17.00%,6.00%,$1.100B
ADV,Advantage Solutions Inc,Media & Publishing,4.31,-9.68%,-1.00%,-58.00%,$1.373B
ATEYY,Advantest Corp (ADR),Semiconductors & Semiconductor Equipment ,62.27,0.66%,20.00%,-29.00%,$12.454B
ADXS,"Advaxis, Inc.",Biotechnology & Medical Research,3.39,-5.87%,-8.00%,-89.00%,$6.170M
AVK,Advent Convertible and Income Fund,Collective Investments ,14.47,2.53%,11.00%,-25.00%,$499.673M
ADN,Advent Technologies Holdings Inc,Renewable Energy,3.00,8.36%,15.00%,-62.00%,$154.896M
ADVM,Adverum Biotechnologies Inc,Biotechnology & Medical Research,1.51,10.79%,-12.00%,-37.00%,$149.143M
IMPX,AEA-Bridges Impact Corp,Holding Companies,9.97,-0.10%,0.00%,3.00%,$398.800M
ACM,Aecom,Construction & Engineering,74.95,4.47%,17.00%,17.00%,$10.467B
AGLE,Aeglea Bio Therapeutics Inc,Biotechnology & Medical Research,0.50,18.48%,-2.00%,-93.00%,$30.580M
AEFC,Aegon Funding Company LLC,Banking Services,23.60,0.00%,6.00%,-13.00%,$873.200M
AEG,AEGON N.V. (ADR),Insurance,5.03,6.18%,15.00%,-6.00%,$10.589B
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment ,16.43,27.17%,125.00%,212.00%,$441.014M
AMTX,Aemetis Inc,Renewable Energy,10.66,33.25%,109.00%,-2.00%,$368.665M
AENZ,Aenza SAA (ADR),Construction & Engineering,1.12,-0.81%,-1.00%,-21.00%,$195.309M
ARBG,Aequi Acquisition Corp,Holding Companies,9.93,0.20%,1.00%,2.00%,$228.390M
AER,AerCap Holdings N.V.,Professional & Commercial Services  ,48.46,7.04%,19.00%,-14.00%,$6.319B
,Aerie Pharmaceuticals Inc,Pharmaceuticals,11.09,71.18%,45.00%,-20.00%,$547.402M
AKOM,Aerkomm Inc,Telecommunications Services,6.00,0.00%,0.00%,130.00%,$59.358M
AERC,AeroClean Technologies Inc,Professional & Commercial Services  ,5.20,15.81%,-43.00%,0.00%,$72.166M
AJRD,Aerojet Rocketdyne Holdings Inc,Aerospace & Defense,41.36,0.34%,3.00%,-4.00%,$3.328B
AVTE,Aerovate Therapeutics Inc,Biotechnology & Medical Research,23.86,2.66%,42.00%,79.00%,$582.423M
AVAV,"AeroVironment, Inc.",Aerospace & Defense,93.27,2.24%,23.00%,-10.00%,$2.327B
ASLE,AerSale Corp,Aerospace & Defense,20.04,11.54%,26.00%,49.00%,$1.037B
AES,AES Corp,Electrical Utilities & IPPs,24.35,8.34%,20.00%,-1.00%,$16.264B
AEHA,Aesther Healthcare Acquisition Corp,Holding Companies,10.17,-0.29%,0.00%,0.00%,$107.802M
AIH,Aesthetic Medical International HldngsGL,Healthcare Providers & Services,2.09,-5.78%,8.00%,-53.00%,$5.225M
AEZS,AEterna Zentaris Inc. (USA),Biotechnology & Medical Research,4.97,3.39%,-10.00%,-71.00%,$3.976M
GMFI,Aetherium Acquisition Corp,Holding Companies,9.95,0.00%,0.00%,0.00%,$119.689M
AEMD,"Aethlon Medical, Inc.",Healthcare Equipment & Supplies,1.34,-18.67%,32.00%,-65.00%,$30.686M
AEVA,Aeva Technologies Inc,Communications & Networking,3.99,-1.16%,31.00%,-50.00%,$869.022M
LIDR,Aeye Inc,Electronic Equipment & Parts,2.64,2.36%,39.00%,-72.00%,$415.417M
AFAQ,AF Acquisition Corp,Holding Companies,9.83,0.10%,0.00%,2.00%,$220.192M
AFCG,AFC Gamma Inc,Residential & Commercial REITs,18.10,6.97%,17.00%,-14.00%,$359.430M
AMG,"Affiliated Managers Group, Inc.",Investment Banking & Investment Services,136.27,2.57%,16.00%,-20.00%,$5.209B
AFMD,Affimed NV,Biotechnology & Medical Research,3.01,11.45%,11.00%,-46.00%,$295.844M
AFBI,Affinity Bancshares Inc,Banking Services,14.65,-2.33%,-1.00%,10.00%,$96.924M
AFRM,Affirm Holdings Inc,Financial Technology (Fintech) & Infrastructure,36.97,15.33%,69.00%,-46.00%,$8.365B
AFL,AFLAC Incorporated,Insurance,62.64,4.58%,14.00%,8.00%,$39.583B
AGAC,African Gold Acquisition Corp,Holding Companies,9.85,0.10%,1.00%,2.00%,$407.790M
AFTR,AfterNext HealthTech Acquisition Corp,Holding Companies,9.74,-0.10%,0.00%,0.00%,$243.500M
AFYA,Afya Ltd,Professional & Business Education,11.96,5.58%,31.00%,-47.00%,$539.540M
MITT,AG Mortgage Investment Trust Inc,Residential & Commercial REITs,7.53,-7.74%,2.00%,-28.00%,$169.440M
AATP,Agape ATP Corp,Healthcare Equipment & Supplies,4.01,0.00%,0.00%,0.00%,$302.563M
AGBA,AGBA Acquisition Ltd,Holding Companies,11.37,0.09%,0.00%,5.00%,$53.871M
AGCO,AGCO Corporation,"Machinery, Equipment & Components",112.02,4.67%,20.00%,-22.00%,$8.356B
UAVS,Ageagle Aerial Systems Inc,Aerospace & Defense,0.72,4.36%,8.00%,-82.00%,$59.025M
AGESY,Ageas SA - ADR,Insurance,45.26,0.00%,15.00%,-13.00%,$8.587B
AIFS,Agent Information Software Inc,Software & IT Services,1.80,0.00%,17.00%,-20.00%,$7.684M
AGTX,Agentix Corp,Pharmaceuticals,0.15,0.00%,0.00%,-85.00%,$5.331M
AGEN,Agenus Inc,Biotechnology & Medical Research,2.67,2.30%,-7.00%,-55.00%,$756.045M
AGE,AgeX Therapeutics Inc,Biotechnology & Medical Research,0.67,6.87%,-3.00%,-43.00%,$25.418M
AGGR,Agile Growth Corp,Holding Companies,9.85,0.10%,1.00%,2.00%,$305.350M
AGRX,Agile Therapeutics Inc,Biotechnology & Medical Research,0.64,12.12%,9.00%,-99.00%,$2.914M
A,Agilent Technologies Inc,Healthcare Equipment & Supplies,131.95,-1.47%,12.00%,-17.00%,$39.415B
AGIL,AgileThought Inc,Software & IT Services,4.66,0.64%,-2.00%,0.00%,$235.199M
AGTI,Agiliti Inc,Healthcare Equipment & Supplies,16.64,-16.39%,-17.00%,-7.00%,$2.216B
AGL,Agilon Health Inc,Healthcare Providers & Services,25.75,2.12%,2.00%,-23.00%,$10.582B
AGYS,"Agilysys, Inc.",Software & IT Services,52.40,3.81%,9.00%,-11.00%,$1.312B
AGIO,Agios Pharmaceuticals Inc,Biotechnology & Medical Research,25.99,13.11%,24.00%,-36.00%,$1.425B
AGMH,AGM Group Holdings Inc,Software & IT Services,1.85,-3.06%,0.00%,-76.00%,$39.481M
AGNC,AGNC Investment Corp,Residential & Commercial REITs,12.68,1.29%,10.00%,-23.00%,$6.628B
AEM,Agnico Eagle Mines Ltd (USA),Metals & Mining,44.90,7.26%,8.00%,-22.00%,$9.789B
API^E15,Agora Inc,Software & IT Services,5.12,-6.33%,1.00%,-83.00%,$495.770M
ADC,Agree Realty Corporation,Residential & Commercial REITs,78.51,2.47%,4.00%,5.00%,$6.268B
AGRIP,Agribank FCB,Banking Services,103.00,1.23%,0.00%,-7.00%,$257.500M
AGRI,AgriFORCE Growing Systems Ltd,Pharmaceuticals,1.71,-5.52%,-16.00%,-41.00%,$26.247M
AGFY,Agrify Corp,Food & Tobacco,1.42,-21.76%,-16.00%,-95.00%,$37.759M
AGFS,AgroFresh Solutions Inc,Chemicals,1.87,3.35%,19.00%,-8.00%,$98.530M
AHRN,Ahren Acquisition Corp,Holding Companies,9.99,-0.10%,0.00%,0.00%,$299.700M
AIAD,Aiadvertising Inc,Media & Publishing,0.01,1.23%,5.00%,-52.00%,$8.959M
AIB^J17,AIB Acquisition Corp,Holding Companies,9.99,0.00%,1.00%,0.00%,$90.869M
AIKI,Aikido Pharma Inc,Biotechnology & Medical Research,6.10,9.15%,2.00%,-55.00%,$32.043M
ALRN,Aileron Therapeutics Inc,Biotechnology & Medical Research,0.22,32.49%,-17.00%,-83.00%,$19.663M
AIM^F13,AIM ImmunoTech Inc,Biotechnology & Medical Research,0.76,8.26%,-1.00%,-62.00%,$36.301M
AIMAU,Aimfinity Investment I Corp,Holding Companies,9.96,0.00%,0.00%,0.00%,$80.178M
AIMD,Ainos Inc,Biotechnology & Medical Research,2.75,-72.31%,0.00%,0.00%,$26.469M
AIRYY,Air China Ltd (ADR),Passenger Transportation Services,15.63,0.00%,-10.00%,23.00%,$3.566B
AFLYY,Air France KLM SA (ADR),Passenger Transportation Services,1.60,1.89%,34.00%,-66.00%,$4.100B
AIRI,Air Industries Group,Aerospace & Defense,0.71,-5.68%,0.00%,-46.00%,$22.822M
AL,Air Lease Corp,Professional & Commercial Services  ,39.27,2.61%,14.00%,-12.00%,$4.355B
APD,"Air Products & Chemicals, Inc.",Chemicals,264.81,8.11%,18.00%,-5.00%,$58.735B
AIRT,"Air T, Inc.",Freight & Logistics Services,15.13,-1.94%,9.00%,-52.00%,$43.363M
ATSG,Air Transport Services Group Inc.,Freight & Logistics Services,31.92,-4.48%,13.00%,17.00%,$2.374B
ABNB,Airbnb Inc,Software & IT Services,121.50,3.23%,30.00%,-21.00%,$48.499B
EADSY,Airbus SE (ADR),Aerospace & Defense,27.69,0.00%,10.00%,-18.00%,$87.067B
AIRG,Airgain Inc,Communications & Networking,8.17,-5.52%,-8.00%,-48.00%,$83.244M
ANTE,Airnet Technology Inc(ADR),Media & Publishing,0.99,-8.33%,-14.00%,-50.00%,$353.413M
AIRS,Airsculpt Technologies Inc,Healthcare Providers & Services,8.88,13.73%,51.00%,0.00%,$494.083M
MIMO,Airspan Networks Holdings Inc,Software & IT Services,3.22,-0.32%,3.00%,-68.00%,$232.922M
ASEKY,Aisin Corp (ADR),Automobiles & Auto Parts,30.81,0.00%,5.00%,-23.00%,$9.079B
AIXN,AiXin Life International Inc,Other Specialty Retailers,4.00,0.00%,19.00%,-51.00%,$200.000M
AJIA,Ajia Innogroup Holdings Ltd,Software & IT Services,0.51,0.00%,0.00%,-32.00%,$51.571M
AKA,AKA Brands Holding Corp,Other Specialty Retailers,2.03,7.22%,-25.00%,0.00%,$261.210M
